Noise Type,Noise Intensity,mAP,Precision,Recall,Avg Detections,Avg Displacement,Avg Velocity,Avg Optical Flow,Detection Stability,Movement Stability,Avg Denoise Time (ms)
Original (No Noise),0,0.5097605586051941,0.5097605586051941,1.0,10.69047619047619,6.466892438672664,6.466892438672664,2.3001418,0.1808402908578879,0.2534141384011773,0.0
Salt & Pepper Low,5,0.5369727611541748,0.5369727611541748,1.0,11.031746031746032,6.453070994129191,6.453070994129191,1.4311943,0.14799874383451844,0.282067961035593,13.608799587301585
Salt & Pepper Medium,10,0.5624053478240967,0.5624053478240967,1.0,11.023809523809524,6.801328127381021,6.801328127381021,1.2617983,0.14877745226172379,0.31228614478297856,13.592024087301587
Salt & Pepper High,15,0.5312547087669373,0.5312547087669373,1.0,11.587301587301587,5.8815105063339015,5.8815105063339015,1.2621523,0.15348579994991013,0.2823982931359178,214.10936488888888
Flicker Low,10,0.5221400260925293,0.5221400260925293,1.0,10.865079365079366,6.630726191288784,6.630726191288784,1.820907,0.1677786121721237,0.36445248329514385,307.26249280158726
Flicker Medium,20,0.5342977643013,0.5342977643013,1.0,10.753968253968255,6.629587560403627,6.629587560403627,1.5978271,0.17600044810186427,0.33933624594296774,309.17933207936505
Flicker High,30,0.5248576998710632,0.5248576998710632,1.0,10.682539682539682,6.685231431200509,6.685231431200509,1.5449593,0.1791153009751221,0.2612190267688811,307.7217503571428
Motion Blur Low,5,0.5799756050109863,0.5799756050109863,1.0,10.793650793650794,6.823709533713567,6.823709533713567,2.3769743,0.16479120689075646,0.37863932706450687,3382.6743317380956
Motion Blur Medium,10,0.5821546316146851,0.5821546316146851,1.0,10.69047619047619,6.880528546850367,6.880528546850367,2.428788,0.17218498888828934,0.3567441377149051,3379.6189697777763
Motion Blur High,15,0.6060023307800293,0.6060023307800293,1.0,10.603174603174603,6.987014981012117,6.987014981012117,2.5160089,0.1746628168022847,0.3046401140093895,3350.3965605079366
Temporal Gaussian Low,5,0.6294679045677185,0.6294679045677185,1.0,10.825396825396826,6.105594546900863,6.105594546900863,1.05228,0.1836769990004645,0.3878942697096861,3378.777865079365
Temporal Gaussian Medium,10,0.6719699501991272,0.6719699501991272,1.0,10.722222222222221,7.607127425208761,7.607127425208761,0.90352094,0.21171186259790997,0.6006269180831537,3435.082960539682
Temporal Gaussian High,15,0.6830969452857971,0.6830969452857971,1.0,9.80952380952381,6.2543888559766385,6.2543888559766385,0.85175806,0.22123357019622994,0.3720259427005915,3455.3276971904766
Gaussian Low,5,0.5545000433921814,0.5545000433921814,1.0,11.341269841269842,6.357576210035227,6.357576210035227,1.2131432,0.16027636937267484,0.30014481255418185,3394.26454320635
Gaussian Medium,10,0.540036141872406,0.540036141872406,1.0,11.666666666666666,5.9970288970569285,5.9970288970569285,1.1584293,0.1754627368179974,0.333211772661266,3364.583433611111
Gaussian High,15,0.5114818215370178,0.5114818215370178,1.0,11.484126984126984,6.144001401227329,6.144001401227329,1.2253673,0.1611354755290825,0.3160668956225706,3375.2646434285716
