Noise Type,Noise Intensity,mAP,Precision,Recall,Avg Detections,Avg Displacement,Avg Velocity,Avg Optical Flow,Detection Stability,Movement Stability,Avg Denoise Time (ms)
Original (No Noise),0,0.44157686829566956,0.44157686829566956,1.0,14.706422018348624,6.845128608069389,6.845128608069389,2.7241645,0.12419238039562647,0.606239285056902,0.0
Salt & Pepper Low,5,0.44010937213897705,0.44010937213897705,1.0,15.229357798165138,6.84770395371999,6.84770395371999,2.4681954,0.11669500378199106,0.4928544362143784,6.368023403669725
Salt & Pepper Medium,10,0.4270547032356262,0.4270547032356262,1.0,15.197247706422019,7.028281649113482,7.028281649113482,2.384398,0.11677043161852925,0.581763871498862,6.431093133027523
Salt & Pepper High,15,0.43319353461265564,0.43319353461265564,1.0,15.344036697247706,6.819718248587388,6.819718248587388,2.2946007,0.11721614359535346,0.39348988002516605,61.277562536697246
Flicker Low,10,0.5753263235092163,0.5753263235092163,1.0,14.582568807339449,6.540583138689638,6.540583138689638,2.7195735,0.12557422173688232,0.481094089273667,97.01692373394494
Flicker Medium,20,0.5587576627731323,0.5587576627731323,1.0,14.247706422018348,7.069248088854571,7.069248088854571,2.649808,0.12618434157104966,0.523172488904132,95.85055756422018
Flicker High,30,0.5237347483634949,0.5237347483634949,1.0,14.169724770642201,7.138680328621874,7.138680328621874,2.5933318,0.12670727537429288,0.5447950047957906,96.16449610550458
Motion Blur Low,5,0.5294913053512573,0.5294913053512573,1.0,14.394495412844037,6.533595247211475,6.533595247211475,2.7938032,0.12713307999907678,0.5490020188342538,1239.3859633899083
Motion Blur Medium,10,0.5323371887207031,0.5323371887207031,1.0,14.5,6.490962547163404,6.490962547163404,2.7554364,0.1148423057732746,0.5341668190781246,1236.9006252798167
Motion Blur High,15,0.5229908227920532,0.5229908227920532,1.0,14.440366972477063,6.513161334195484,6.513161334195484,2.7055337,0.11844320926422063,0.5075625923892698,1249.962920555046
Temporal Gaussian Low,5,0.4424888789653778,0.4424888789653778,1.0,14.435779816513762,6.892403234521411,6.892403234521411,1.7520088,0.12742135762243748,0.5741958531713195,1220.882570591743
Temporal Gaussian Medium,10,0.4283086955547333,0.4283086955547333,1.0,14.256880733944953,6.57244465845684,6.57244465845684,1.7391475,0.12583358503859934,0.5069714267160647,1265.496902885321
Temporal Gaussian High,15,0.40735381841659546,0.40735381841659546,1.0,13.376146788990825,6.990560498265266,6.990560498265266,1.7131833,0.12960240966636427,0.5701758698560516,1294.2194310825687
Gaussian Low,5,0.4838864207267761,0.4838864207267761,1.0,14.931192660550458,6.695674295268938,6.695674295268938,2.5048647,0.12389030461315832,0.5231563225767287,1366.7538914036697
Gaussian Medium,10,0.49840301275253296,0.49840301275253296,1.0,14.752293577981652,6.708682608480939,6.708682608480939,2.5402896,0.11638328938370446,0.5357695743840277,1346.0009215412845
Gaussian High,15,0.4857715368270874,0.4857715368270874,1.0,14.770642201834862,7.269604744023666,7.269604744023666,2.6093502,0.12049369272816321,0.5227059395526718,1396.6970636972476
